総数,1477651,895771,581882
東海道本線,496588,282613,213975
東淀川,8086,4900,3186
新大阪,45276,26361,18915
大阪,426348,240511,185837
塚本,16878,10841,6037
大阪環状線,577447,358891,218557
福島,23551,14353,9198
野田,11830,7475,4355
西九条,23279,14525,8755
弁天町,33051,21325,11726
大正,23105,14574,8531
芦原橋,6432,4291,2142
新今宮,67627,44016,23611
寺田町,16859,10054,6805
桃谷,18426,11527,6899
鶴橋,116440,74615,41825
玉造,16758,11749,5008
森ノ宮,27971,17581,10390
大阪城公園,12717,5787,6930
京橋,137994,84552,53442
桜ノ宮,18424,11230,7194
天満,22983,11237,11746
桜島線,32648,17756,14891
安治川口,10900,9157,1744
ﾕﾆﾊﾞｰｻﾙｼﾃｨ,14499,3190,11308
桜島,7249,5409,1839
片町線,21898,14762,7137
鴫野,8497,5588,2910
放出,13401,9174,4227
関西本線,206536,125493,81044
ＪＲ難波,28561,17222,11338
今宮,3651,2216,1436
天王寺,145135,86411,58725
東部市場前,6673,4439,2235
平野,11838,7615,4223
加美,10678,7590,3087
阪和線,34539,23337,11203
美章園,5065,3460,1605
南田辺,4503,2885,1618
鶴ケ丘,4693,3033,1661
長居,5455,3324,2131
我孫子町,6216,4010,2206
杉本町,8607,6625,1982
東西線,107995,72919,35075
大阪城北詰,4258,2510,1748
大阪天満宮,22185,15130,7055
北新地,47072,31575,15496
新福島,7855,5161,2694
海老江,9706,6489,3217
御幣島,9852,7049,2803
加島,7067,5005,2062
